Analytics,Application Integration:,Blockchain: ,Business Applications:
• Amazon Athena,• Amazon AppFlow,• Amazon Managed Blockchain,• Alexa for Business
• AWS Data Exchange,• AWS AppSync,,• Amazon Simple Email Service (Amazon SES)
• AWS Data Pipeline,• Amazon EventBridge,,
• Amazon EMR,• Amazon MQ,,
• AWS Glue,• Amazon Simple Notification Service (Amazon SNS),,
• Amazon Kinesis Data Analytics,• Amazon Simple Queue Service (Amazon SQS),,
• Amazon Kinesis Data Firehose,• AWS Step Functions,,
• Amazon Kinesis Data Streams,,,
• Amazon Managed Streaming for Apache Kafka (Amazon MSK),,,
• Amazon OpenSearch Service,,,
• Amazon QuickSight,,,
,,,
Cloud Financial Management:,Compute:,Containers:,Database:
• AWS Budgets,• AWS App Runner,• Amazon Elastic Container Registry (Amazon ECR),• Amazon Aurora
• AWS Cost and Usage Report,• AWS Auto Scaling,• Amazon Elastic Container Service (Amazon ECS),• Amazon Aurora Serverless
• AWS Cost Explorer,• AWS Batch,• Amazon ECS Anywhere,• Amazon DocumentDB (with MongoDB compatibility)
• Savings Plans,• Amazon EC2,• Amazon Elastic Kubernetes Service (Amazon EKS),• Amazon DynamoDB
,• Amazon EC2 Auto Scaling,• Amazon EKS Anywhere,• Amazon ElastiCache
,• AWS Elastic Beanstalk,• Amazon EKS Distro,• Amazon Keyspaces (for Apache Cassandra)
,• AWS Fargate,,• Amazon Neptune
,• AWS Lambda,,• Amazon RDS
,• Amazon Lightsail,,• Amazon Redshift
,• AWS Outposts,,• Amazon Timestream
,• AWS Wavelength,,
,,,
,,,
Developer Tools:,End User Computing:,Frontend Web and Mobile:,Internet of Things (IoT):
• AWS Cloud9,• Amazon AppStream 2.0,• AWS Amplify,• AWS IoT Analytics
• AWS CodeArtifact,• Amazon WorkSpaces,• Amazon API Gateway,• AWS IoT Core
• AWS CodeBuild,,• AWS Device Farm,• AWS IoT Device Defender
• AWS CodeCommit,,• Amazon Pinpoint,• AWS IoT Device Management
• AWS CodeDeploy,,,• AWS IoT Events
• Amazon CodeGuru,,,• AWS IoT Greengrass
• AWS CodePipeline,,,• AWS IoT SiteWise
• AWS CodeStar,,,• AWS IoT Things Graph
• AWS X-Ray,,,• AWS IoT 1-Click
,,,
,,,
Machine Learning:,Management and Governance:,"Security, Identity, and Compliance:",Migration and Transfer:
• Amazon Comprehend,• AWS CLI,• AWS Artifact,• AWS Application Discovery Service
• Amazon Forecast,• AWS CloudFormation,• AWS Audit Manager,• AWS Application Migration Service
• Amazon Fraud Detector,• AWS CloudTrail,• AWS Certificate Manager (ACM),• AWS Database Migration Service (AWS DMS)
• Amazon Kendra,• Amazon CloudWatch,• AWS CloudHSM,• AWS DataSync
• Amazon Lex,• Amazon CloudWatch Logs,• Amazon Cognito,• AWS Migration Hub
• Amazon Personalize,• AWS Compute Optimizer,• Amazon Detective,• AWS Schema Conversion Tool (AWS SCT)
• Amazon Polly,• AWS Config,• AWS Directory Service,• AWS Snow Family
• Amazon Rekognition,• AWS Control Tower,• AWS Firewall Manager,• AWS Transfer Family
• Amazon SageMaker,• AWS Health Dashboard,• Amazon GuardDuty,
• Amazon Textract,• AWS License Manager,• AWS IAM Identity Center (AWS Single Sign-On),
• Amazon Transcribe,• Amazon Managed Grafana,• AWS Identity and Access Management (IAM),
• Amazon Translate,• Amazon Managed Service for Prometheus,• Amazon Inspector,
,• AWS Management Console,• AWS Key Management Service (AWS KMS),
,• AWS Organizations,• Amazon Macie,
,• AWS Proton,• AWS Network Firewall,
,• AWS Service Catalog,• AWS Resource Access Manager (AWS RAM),
,• Service Quotas,• AWS Secrets Manager,
,• AWS Systems Manager,• AWS Security Hub,
,• AWS Trusted Advisor,• AWS Security Token Service (AWS STS),
,• AWS Well-Architected Tool,• AWS Shield,
,,• AWS WAF,
,,,
,,,
Networking and Content Delivery:,Media Services:,Storage:,
• Amazon CloudFront,• Amazon Elastic Transcoder,• AWS Backup,
• AWS Direct Connect,• Amazon Kinesis Video Streams,• Amazon Elastic Block Store (Amazon EBS),
• Elastic Load Balancing (ELB),,• AWS Elastic Disaster Recovery,
• AWS Global Accelerator,,• Amazon Elastic File System (Amazon EFS),
• AWS PrivateLink,,• Amazon FSx (for all types),
• Amazon Route 53,,• Amazon S3,
• AWS Transit Gateway,,• Amazon S3 Glacier,
• Amazon VPC,,• AWS Storage Gateway,
• AWS VPN,,,
